,function,file,time,lines,test_no
119,load CSV File,train.csv,0.0,100000,2
120,interpolate Data,train.csv,0.015625,100000,2
121,save CSV File,train.csv,1.84375,100000,2
122,load CSV File,test.csv,0.0,100000,2
123,interpolate Data,test.csv,0.015625,100000,2
124,save CSV File,test.csv,0.875,100000,2
125,load CSV File,ideal.csv,0.015625,100000,2
126,interpolate Data,ideal.csv,0.171875,100000,2
127,save CSV File,ideal.csv,16.15625,100000,2
128,fill SQL Database,ideal.csv,14.78125,100000,2
129,fill SQL Database,train.csv,1.9375,100000,2
130,GET SQL Data,ideal.csv,5.265625,100000,2
131,GET SQL Data,train.csv,0.859375,100000,2
132,Finding all Ideal Functions,,0.59375,100000,2
133,Assigning test data,,1566.5625,100000,2
134,fill SQL Database,test.csv,2.296875,100000,2
135,vis results,,1.84375,100000,2
136,load CSV File,train.csv,0.0,100,3
137,interpolate Data,train.csv,0.0,100,3
138,save CSV File,train.csv,0.0,100,3
139,load CSV File,test.csv,0.0,100,3
140,interpolate Data,test.csv,0.0,100,3
141,save CSV File,test.csv,0.015625,100,3
142,load CSV File,ideal.csv,0.0,100,3
143,interpolate Data,ideal.csv,0.015625,100,3
144,save CSV File,ideal.csv,0.015625,100,3
145,fill SQL Database,ideal.csv,0.25,100,3
146,fill SQL Database,train.csv,0.046875,100,3
147,GET SQL Data,ideal.csv,0.015625,100,3
148,GET SQL Data,train.csv,0.0,100,3
149,Finding all Ideal Functions,,0.046875,100,3
150,Assigning test data,,0.46875,100,3
151,fill SQL Database,test.csv,0.015625,100,3
152,vis results,,0.09375,100,3
153,load CSV File,train.csv,0.0,1000,3
154,interpolate Data,train.csv,0.0,1000,3
155,save CSV File,train.csv,0.015625,1000,3
156,load CSV File,test.csv,0.0,1000,3
157,interpolate Data,test.csv,0.0,1000,3
158,save CSV File,test.csv,0.015625,1000,3
159,load CSV File,ideal.csv,0.015625,1000,3
160,interpolate Data,ideal.csv,0.015625,1000,3
161,save CSV File,ideal.csv,0.1875,1000,3
162,fill SQL Database,ideal.csv,0.1875,1000,3
163,fill SQL Database,train.csv,0.03125,1000,3
164,GET SQL Data,ideal.csv,0.046875,1000,3
165,GET SQL Data,train.csv,0.015625,1000,3
166,Finding all Ideal Functions,,0.046875,1000,3
167,Assigning test data,,4.078125,1000,3
168,fill SQL Database,test.csv,0.015625,1000,3
169,vis results,,0.109375,1000,3
170,load CSV File,train.csv,0.0,10000,3
171,interpolate Data,train.csv,0.0,10000,3
172,save CSV File,train.csv,0.203125,10000,3
173,load CSV File,test.csv,0.0,10000,3
174,interpolate Data,test.csv,0.0,10000,3
175,save CSV File,test.csv,0.109375,10000,3
176,load CSV File,ideal.csv,0.0,10000,3
177,interpolate Data,ideal.csv,0.03125,10000,3
178,save CSV File,ideal.csv,1.609375,10000,3
179,fill SQL Database,ideal.csv,1.453125,10000,3
180,fill SQL Database,train.csv,0.171875,10000,3
181,GET SQL Data,ideal.csv,0.546875,10000,3
182,GET SQL Data,train.csv,0.0625,10000,3
183,Finding all Ideal Functions,,0.078125,10000,3
184,Assigning test data,,45.125,10000,3
185,fill SQL Database,test.csv,0.234375,10000,3
186,vis results,,0.25,10000,3
187,load CSV File,train.csv,0.0,100000,3
188,interpolate Data,train.csv,0.03125,100000,3
189,save CSV File,train.csv,1.84375,100000,3
190,load CSV File,test.csv,0.0,100000,3
191,interpolate Data,test.csv,0.015625,100000,3
192,save CSV File,test.csv,0.890625,100000,3
193,load CSV File,ideal.csv,0.0,100000,3
194,interpolate Data,ideal.csv,0.171875,100000,3
