,function,file,time,lines,test_no
596,interpolate Data,train.csv,0.015625,100000,9
597,save CSV File,train.csv,1.84375,100000,9
598,load CSV File,test.csv,0.0,100000,9
599,interpolate Data,test.csv,0.015625,100000,9
600,save CSV File,test.csv,0.875,100000,9
601,load CSV File,ideal.csv,0.0,100000,9
602,interpolate Data,ideal.csv,0.171875,100000,9
603,save CSV File,ideal.csv,15.984375,100000,9
604,fill SQL Database,ideal.csv,14.46875,100000,9
605,fill SQL Database,train.csv,1.90625,100000,9
606,GET SQL Data,ideal.csv,5.09375,100000,9
607,GET SQL Data,train.csv,0.90625,100000,9
608,Finding all Ideal Functions,,0.5625,100000,9
609,Assigning test data,,1506.84375,100000,9
610,fill SQL Database,test.csv,2.265625,100000,9
611,vis results,,1.78125,100000,9
612,load CSV File,train.csv,0.0,100,10
613,interpolate Data,train.csv,0.0,100,10
614,save CSV File,train.csv,0.0,100,10
615,load CSV File,test.csv,0.0,100,10
616,interpolate Data,test.csv,0.0,100,10
617,save CSV File,test.csv,0.015625,100,10
618,load CSV File,ideal.csv,0.0,100,10
619,interpolate Data,ideal.csv,0.015625,100,10
620,save CSV File,ideal.csv,0.015625,100,10
621,fill SQL Database,ideal.csv,0.25,100,10
622,fill SQL Database,train.csv,0.03125,100,10
623,GET SQL Data,ideal.csv,0.0,100,10
624,GET SQL Data,train.csv,0.0,100,10
625,Finding all Ideal Functions,,0.046875,100,10
626,Assigning test data,,0.4375,100,10
627,fill SQL Database,test.csv,0.015625,100,10
628,vis results,,0.109375,100,10
629,load CSV File,train.csv,0.0,1000,10
630,interpolate Data,train.csv,0.0,1000,10
631,save CSV File,train.csv,0.015625,1000,10
632,load CSV File,test.csv,0.0,1000,10
633,interpolate Data,test.csv,0.0,1000,10
634,save CSV File,test.csv,0.0,1000,10
635,load CSV File,ideal.csv,0.015625,1000,10
636,interpolate Data,ideal.csv,0.0,1000,10
637,save CSV File,ideal.csv,0.203125,1000,10
638,fill SQL Database,ideal.csv,0.171875,1000,10
639,fill SQL Database,train.csv,0.046875,1000,10
640,GET SQL Data,ideal.csv,0.0625,1000,10
641,GET SQL Data,train.csv,0.0,1000,10
642,Finding all Ideal Functions,,0.03125,1000,10
643,Assigning test data,,4.109375,1000,10
644,fill SQL Database,test.csv,0.015625,1000,10
645,vis results,,0.109375,1000,10
646,load CSV File,train.csv,0.0,10000,10
647,interpolate Data,train.csv,0.0,10000,10
648,save CSV File,train.csv,0.21875,10000,10
649,load CSV File,test.csv,0.0,10000,10
650,interpolate Data,test.csv,0.0,10000,10
651,save CSV File,test.csv,0.09375,10000,10
652,load CSV File,ideal.csv,0.015625,10000,10
653,interpolate Data,ideal.csv,0.015625,10000,10
654,save CSV File,ideal.csv,1.609375,10000,10
655,fill SQL Database,ideal.csv,1.359375,10000,10
656,fill SQL Database,train.csv,0.234375,10000,10
657,GET SQL Data,ideal.csv,0.515625,10000,10
658,GET SQL Data,train.csv,0.109375,10000,10
659,Finding all Ideal Functions,,0.078125,10000,10
660,Assigning test data,,43.96875,10000,10
661,fill SQL Database,test.csv,0.21875,10000,10
662,vis results,,0.265625,10000,10
663,load CSV File,train.csv,0.0,100000,10
664,interpolate Data,train.csv,0.015625,100000,10
665,save CSV File,train.csv,1.8125,100000,10
666,load CSV File,test.csv,0.0,100000,10
667,interpolate Data,test.csv,0.015625,100000,10
668,save CSV File,test.csv,0.875,100000,10
669,load CSV File,ideal.csv,0.0,100000,10
670,interpolate Data,ideal.csv,0.171875,100000,10
671,save CSV File,ideal.csv,15.953125,100000,10
672,fill SQL Database,ideal.csv,14.75,100000,10
673,fill SQL Database,train.csv,1.890625,100000,10
674,GET SQL Data,ideal.csv,5.09375,100000,10
675,GET SQL Data,train.csv,0.890625,100000,10
676,Finding all Ideal Functions,,0.5625,100000,10
677,Assigning test data,,1507.578125,100000,10
678,fill SQL Database,test.csv,2.1875,100000,10
679,vis results,,1.796875,100000,10
